"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2006-2010",1,"Ciutat Vella",1,"el Raval",87.5
"2006-2010",1,"Ciutat Vella",2,"el Barri Gòtic",88
"2006-2010",1,"Ciutat Vella",3,"la Barceloneta",88.2
"2006-2010",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",88.9
"2006-2010",2,"Eixample",5,"el Fort Pienc",89.7
"2006-2010",2,"Eixample",6,"la Sagrada Família",88.9
"2006-2010",2,"Eixample",7,"la Dreta de l'Eixample",87
"2006-2010",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",88.9
"2006-2010",2,"Eixample",9,"la Nova Esquerra de l'Eixample",90
"2006-2010",2,"Eixample",10,"Sant Antoni",89
"2006-2010",3,"Sants-Montjuïc",11,"el Poble Sec",88.5
"2006-2010",3,"Sants-Montjuïc",13,"la Marina de Port",88.5
"2006-2010",3,"Sants-Montjuïc",14,"la Font de la Guatlla",88.7
"2006-2010",3,"Sants-Montjuïc",15,"Hostafrancs",87.5
"2006-2010",3,"Sants-Montjuïc",16,"la Bordeta",88.7
"2006-2010",3,"Sants-Montjuïc",17,"Sants - Badal",88.4
"2006-2010",3,"Sants-Montjuïc",18,"Sants",89.4
"2006-2010",4,"Les Corts",19,"les Corts",89.4
"2006-2010",4,"Les Corts",20,"la Maternitat i Sant Ramon",90
"2006-2010",4,"Les Corts",21,"Pedralbes",89
"2006-2010",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",83.4
"2006-2010",5,"Sarrià-Sant Gervasi",23,"Sarrià",90.9
"2006-2010",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",89.7
"2006-2010",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",89.2
"2006-2010",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",88.8
"2006-2010",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",89.9
"2006-2010",6,"Gràcia",28,"Vallcarca i els Penitents",88.2
"2006-2010",6,"Gràcia",29,"el Coll",89.9
"2006-2010",6,"Gràcia",30,"la Salut",85.7
"2006-2010",6,"Gràcia",31,"la Vila de Gràcia",87.5
"2006-2010",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",90.1
"2006-2010",7,"Horta-Guinardó",33,"el Baix Guinardó",90.1
"2006-2010",7,"Horta-Guinardó",34,"Can Baró",88.2
"2006-2010",7,"Horta-Guinardó",35,"el Guinardó",89.3
"2006-2010",7,"Horta-Guinardó",36,"la Font d'en Fargues",87.3
"2006-2010",7,"Horta-Guinardó",37,"el Carmel",88.8
"2006-2010",7,"Horta-Guinardó",38,"la Teixonera",86.7
"2006-2010",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",87.3
"2006-2010",7,"Horta-Guinardó",40,"Montbau",83.5
"2006-2010",7,"Horta-Guinardó",41,"la Vall d'Hebron",86.6
"2006-2010",7,"Horta-Guinardó",43,"Horta",87.1
"2006-2010",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",89.6
"2006-2010",8,"Nou Barris",45,"Porta",88.3
"2006-2010",8,"Nou Barris",46,"el Turó de la Peira",90.4
"2006-2010",8,"Nou Barris",47,"Can Peguera",82.2
"2006-2010",8,"Nou Barris",48,"la Guineueta",88.3
"2006-2010",8,"Nou Barris",49,"Canyelles",89.6
"2006-2010",8,"Nou Barris",50,"les Roquetes",88.5
"2006-2010",8,"Nou Barris",51,"Verdun",88.4
"2006-2010",8,"Nou Barris",52,"la Prosperitat",89.6
"2006-2010",8,"Nou Barris",53,"la Trinitat Nova",87.4
"2006-2010",8,"Nou Barris",55,"Ciutat Meridiana",87.9
"2006-2010",9,"Sant Andreu",57,"la Trinitat Vella",87
"2006-2010",9,"Sant Andreu",58,"Baró de Viver",82.4
"2006-2010",9,"Sant Andreu",59,"el Bon Pastor",86.3
"2006-2010",9,"Sant Andreu",60,"Sant Andreu",88.8
"2006-2010",9,"Sant Andreu",61,"la Sagrera",89.9
"2006-2010",9,"Sant Andreu",62,"el Congrés i els Indians",89.9
"2006-2010",9,"Sant Andreu",63,"Navas",89.8
"2006-2010",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",89.1
"2006-2010",10,"Sant Martí",65,"el Clot",88.7
"2006-2010",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",88.1
"2006-2010",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",90.4
"2006-2010",10,"Sant Martí",68,"el Poblenou",88.1
"2006-2010",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",88.1
"2006-2010",10,"Sant Martí",70,"el Besòs i el Maresme",86.8
"2006-2010",10,"Sant Martí",71,"Provençals del Poblenou",88.4
"2006-2010",10,"Sant Martí",72,"Sant Martí de Provençals",88.8
"2006-2010",10,"Sant Martí",73,"la Verneda i la Pau",87.9
"2007-2011",1,"Ciutat Vella",1,"el Raval",84.9
"2007-2011",1,"Ciutat Vella",2,"el Barri Gòtic",84.3
"2007-2011",1,"Ciutat Vella",3,"la Barceloneta",85.3
"2007-2011",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",85.9
"2007-2011",2,"Eixample",5,"el Fort Pienc",87.1
"2007-2011",2,"Eixample",6,"la Sagrada Família",86.6
"2007-2011",2,"Eixample",7,"la Dreta de l'Eixample",85
"2007-2011",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",86.4
"2007-2011",2,"Eixample",9,"la Nova Esquerra de l'Eixample",87.4
"2007-2011",2,"Eixample",10,"Sant Antoni",86.3
"2007-2011",3,"Sants-Montjuïc",11,"el Poble Sec",85.5
"2007-2011",3,"Sants-Montjuïc",13,"la Marina de Port",86.2
"2007-2011",3,"Sants-Montjuïc",14,"la Font de la Guatlla",85.7
"2007-2011",3,"Sants-Montjuïc",15,"Hostafrancs",85.4
"2007-2011",3,"Sants-Montjuïc",16,"la Bordeta",86.3
"2007-2011",3,"Sants-Montjuïc",17,"Sants - Badal",85.9
"2007-2011",3,"Sants-Montjuïc",18,"Sants",86.5
"2007-2011",4,"Les Corts",19,"les Corts",87.1
"2007-2011",4,"Les Corts",20,"la Maternitat i Sant Ramon",87.4
"2007-2011",4,"Les Corts",21,"Pedralbes",87.3
"2007-2011",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",80.5
"2007-2011",5,"Sarrià-Sant Gervasi",23,"Sarrià",87.6
"2007-2011",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",87.7
"2007-2011",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",86.5
"2007-2011",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",86.5
"2007-2011",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",87.6
"2007-2011",6,"Gràcia",28,"Vallcarca i els Penitents",86.1
"2007-2011",6,"Gràcia",29,"el Coll",88.2
"2007-2011",6,"Gràcia",30,"la Salut",84.1
"2007-2011",6,"Gràcia",31,"la Vila de Gràcia",85.1
"2007-2011",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",87.6
"2007-2011",7,"Horta-Guinardó",33,"el Baix Guinardó",87.2
"2007-2011",7,"Horta-Guinardó",34,"Can Baró",86.2
"2007-2011",7,"Horta-Guinardó",35,"el Guinardó",86.4
"2007-2011",7,"Horta-Guinardó",36,"la Font d'en Fargues",85.7
"2007-2011",7,"Horta-Guinardó",37,"el Carmel",86.6
"2007-2011",7,"Horta-Guinardó",38,"la Teixonera",84.8
"2007-2011",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",85
"2007-2011",7,"Horta-Guinardó",40,"Montbau",81.3
"2007-2011",7,"Horta-Guinardó",41,"la Vall d'Hebron",85.3
"2007-2011",7,"Horta-Guinardó",43,"Horta",85.5
"2007-2011",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",87.2
"2007-2011",8,"Nou Barris",45,"Porta",86
"2007-2011",8,"Nou Barris",46,"el Turó de la Peira",87.8
"2007-2011",8,"Nou Barris",47,"Can Peguera",79.7
"2007-2011",8,"Nou Barris",48,"la Guineueta",85.9
"2007-2011",8,"Nou Barris",49,"Canyelles",86
"2007-2011",8,"Nou Barris",50,"les Roquetes",86.1
"2007-2011",8,"Nou Barris",51,"Verdun",86.6
"2007-2011",8,"Nou Barris",52,"la Prosperitat",87.1
"2007-2011",8,"Nou Barris",53,"la Trinitat Nova",84.5
"2007-2011",8,"Nou Barris",54,"Torre Baró",81.7
"2007-2011",8,"Nou Barris",55,"Ciutat Meridiana",85.3
"2007-2011",9,"Sant Andreu",57,"la Trinitat Vella",85.8
"2007-2011",9,"Sant Andreu",58,"Baró de Viver",79.9
"2007-2011",9,"Sant Andreu",59,"el Bon Pastor",84.8
"2007-2011",9,"Sant Andreu",60,"Sant Andreu",86.4
"2007-2011",9,"Sant Andreu",61,"la Sagrera",87.1
"2007-2011",9,"Sant Andreu",62,"el Congrés i els Indians",87.5
"2007-2011",9,"Sant Andreu",63,"Navas",87.4
"2007-2011",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",86.6
"2007-2011",10,"Sant Martí",65,"el Clot",86.7
"2007-2011",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",85.4
"2007-2011",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",87
"2007-2011",10,"Sant Martí",68,"el Poblenou",85.7
"2007-2011",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",87.3
"2007-2011",10,"Sant Martí",70,"el Besòs i el Maresme",85
"2007-2011",10,"Sant Martí",71,"Provençals del Poblenou",86.7
"2007-2011",10,"Sant Martí",72,"Sant Martí de Provençals",86.1
"2007-2011",10,"Sant Martí",73,"la Verneda i la Pau",85.8
"2008-2012",1,"Ciutat Vella",1,"el Raval",84.7
"2008-2012",1,"Ciutat Vella",2,"el Barri Gòtic",84.4
"2008-2012",1,"Ciutat Vella",3,"la Barceloneta",84.4
"2008-2012",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",86.1
"2008-2012",2,"Eixample",5,"el Fort Pienc",87.2
"2008-2012",2,"Eixample",6,"la Sagrada Família",86.8
"2008-2012",2,"Eixample",7,"la Dreta de l'Eixample",85.1
"2008-2012",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",86.3
"2008-2012",2,"Eixample",9,"la Nova Esquerra de l'Eixample",87.5
"2008-2012",2,"Eixample",10,"Sant Antoni",86.5
"2008-2012",3,"Sants-Montjuïc",11,"el Poble Sec",85.6
"2008-2012",3,"Sants-Montjuïc",13,"la Marina de Port",86.5
"2008-2012",3,"Sants-Montjuïc",14,"la Font de la Guatlla",85.1
"2008-2012",3,"Sants-Montjuïc",15,"Hostafrancs",86.3
"2008-2012",3,"Sants-Montjuïc",16,"la Bordeta",85.6
"2008-2012",3,"Sants-Montjuïc",17,"Sants - Badal",86.4
"2008-2012",3,"Sants-Montjuïc",18,"Sants",86.2
"2008-2012",4,"Les Corts",19,"les Corts",87.4
"2008-2012",4,"Les Corts",20,"la Maternitat i Sant Ramon",87.5
"2008-2012",4,"Les Corts",21,"Pedralbes",87.5
"2008-2012",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",80.4
"2008-2012",5,"Sarrià-Sant Gervasi",23,"Sarrià",87.1
"2008-2012",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",87.6
"2008-2012",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",86.5
"2008-2012",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",86.4
"2008-2012",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",87.8
"2008-2012",6,"Gràcia",28,"Vallcarca i els Penitents",86.4
"2008-2012",6,"Gràcia",29,"el Coll",88.2
"2008-2012",6,"Gràcia",30,"la Salut",84.4
"2008-2012",6,"Gràcia",31,"la Vila de Gràcia",85.4
"2008-2012",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",87.6
"2008-2012",7,"Horta-Guinardó",33,"el Baix Guinardó",86.8
"2008-2012",7,"Horta-Guinardó",34,"Can Baró",86
"2008-2012",7,"Horta-Guinardó",35,"el Guinardó",87
"2008-2012",7,"Horta-Guinardó",36,"la Font d'en Fargues",85.6
"2008-2012",7,"Horta-Guinardó",37,"el Carmel",87.2
"2008-2012",7,"Horta-Guinardó",38,"la Teixonera",85
"2008-2012",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",84.6
"2008-2012",7,"Horta-Guinardó",40,"Montbau",81.9
"2008-2012",7,"Horta-Guinardó",41,"la Vall d'Hebron",86
"2008-2012",7,"Horta-Guinardó",43,"Horta",85.5
"2008-2012",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",87.2
"2008-2012",8,"Nou Barris",45,"Porta",86.5
"2008-2012",8,"Nou Barris",46,"el Turó de la Peira",88
"2008-2012",8,"Nou Barris",47,"Can Peguera",80.3
"2008-2012",8,"Nou Barris",48,"la Guineueta",86.1
"2008-2012",8,"Nou Barris",49,"Canyelles",85.9
"2008-2012",8,"Nou Barris",50,"les Roquetes",85.9
"2008-2012",8,"Nou Barris",51,"Verdun",86.9
"2008-2012",8,"Nou Barris",52,"la Prosperitat",87.4
"2008-2012",8,"Nou Barris",53,"la Trinitat Nova",84.1
"2008-2012",8,"Nou Barris",54,"Torre Baró",81.6
"2008-2012",8,"Nou Barris",55,"Ciutat Meridiana",85.7
"2008-2012",9,"Sant Andreu",57,"la Trinitat Vella",86.3
"2008-2012",9,"Sant Andreu",59,"el Bon Pastor",85.6
"2008-2012",9,"Sant Andreu",60,"Sant Andreu",86.7
"2008-2012",9,"Sant Andreu",61,"la Sagrera",87.3
"2008-2012",9,"Sant Andreu",62,"el Congrés i els Indians",87.8
"2008-2012",9,"Sant Andreu",63,"Navas",87.6
"2008-2012",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",87.2
"2008-2012",10,"Sant Martí",65,"el Clot",87.2
"2008-2012",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",85.6
"2008-2012",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",88
"2008-2012",10,"Sant Martí",68,"el Poblenou",86.1
"2008-2012",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",87.4
"2008-2012",10,"Sant Martí",70,"el Besòs i el Maresme",85.5
"2008-2012",10,"Sant Martí",71,"Provençals del Poblenou",86.5
"2008-2012",10,"Sant Martí",72,"Sant Martí de Provençals",86.2
"2008-2012",10,"Sant Martí",73,"la Verneda i la Pau",85.7
"2009-2013",1,"Ciutat Vella",1,"el Raval",84.9
"2009-2013",1,"Ciutat Vella",2,"el Barri Gòtic",87.5
"2009-2013",1,"Ciutat Vella",3,"la Barceloneta",86.3
"2009-2013",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",85.5
"2009-2013",2,"Eixample",5,"el Fort Pienc",87.7
"2009-2013",2,"Eixample",6,"la Sagrada Família",85.1
"2009-2013",2,"Eixample",7,"la Dreta de l'Eixample",85.7
"2009-2013",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",85.8
"2009-2013",2,"Eixample",9,"la Nova Esquerra de l'Eixample",87
"2009-2013",2,"Eixample",10,"Sant Antoni",86
"2009-2013",3,"Sants-Montjuïc",11,"el Poble Sec",88.2
"2009-2013",3,"Sants-Montjuïc",13,"la Marina de Port",88.1
"2009-2013",3,"Sants-Montjuïc",14,"la Font de la Guatlla",88.4
"2009-2013",3,"Sants-Montjuïc",15,"Hostafrancs",81.7
"2009-2013",3,"Sants-Montjuïc",16,"la Bordeta",86.9
"2009-2013",3,"Sants-Montjuïc",17,"Sants - Badal",87.8
"2009-2013",3,"Sants-Montjuïc",18,"Sants",86.5
"2009-2013",4,"Les Corts",19,"les Corts",86.8
"2009-2013",4,"Les Corts",20,"la Maternitat i Sant Ramon",87.8
"2009-2013",4,"Les Corts",21,"Pedralbes",86
"2009-2013",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",88.5
"2009-2013",5,"Sarrià-Sant Gervasi",23,"Sarrià",84.8
"2009-2013",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",85.1
"2009-2013",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",85.7
"2009-2013",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",87.7
"2009-2013",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",86.6
"2009-2013",6,"Gràcia",28,"Vallcarca i els Penitents",86
"2009-2013",6,"Gràcia",29,"el Coll",87.6
"2009-2013",6,"Gràcia",30,"la Salut",85.3
"2009-2013",6,"Gràcia",31,"la Vila de Gràcia",87.2
"2009-2013",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",86.2
"2009-2013",7,"Horta-Guinardó",33,"el Baix Guinardó",85.1
"2009-2013",7,"Horta-Guinardó",34,"Can Baró",85.5
"2009-2013",7,"Horta-Guinardó",35,"el Guinardó",82.3
"2009-2013",7,"Horta-Guinardó",36,"la Font d'en Fargues",85.8
"2009-2013",7,"Horta-Guinardó",37,"el Carmel",87.8
"2009-2013",7,"Horta-Guinardó",38,"la Teixonera",85.6
"2009-2013",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",86.9
"2009-2013",7,"Horta-Guinardó",40,"Montbau",87.3
"2009-2013",7,"Horta-Guinardó",41,"la Vall d'Hebron",88.4
"2009-2013",7,"Horta-Guinardó",43,"Horta",86.5
"2009-2013",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",85.8
"2009-2013",8,"Nou Barris",45,"Porta",87
"2009-2013",8,"Nou Barris",46,"el Turó de la Peira",86
"2009-2013",8,"Nou Barris",47,"Can Peguera",87.2
"2009-2013",8,"Nou Barris",48,"la Guineueta",87.8
"2009-2013",8,"Nou Barris",49,"Canyelles",83.5
"2009-2013",8,"Nou Barris",50,"les Roquetes",83.6
"2009-2013",8,"Nou Barris",51,"Verdun",86.2
"2009-2013",8,"Nou Barris",52,"la Prosperitat",80.5
"2009-2013",8,"Nou Barris",53,"la Trinitat Nova",87.7
"2009-2013",8,"Nou Barris",54,"Torre Baró",83.1
"2009-2013",8,"Nou Barris",55,"Ciutat Meridiana",86.3
"2009-2013",9,"Sant Andreu",57,"la Trinitat Vella",86.9
"2009-2013",9,"Sant Andreu",58,"Baró de Viver",88
"2009-2013",9,"Sant Andreu",59,"el Bon Pastor",88.5
"2009-2013",9,"Sant Andreu",60,"Sant Andreu",88.3
"2009-2013",9,"Sant Andreu",61,"la Sagrera",87.4
"2009-2013",9,"Sant Andreu",62,"el Congrés i els Indians",87.7
"2009-2013",9,"Sant Andreu",63,"Navas",86
"2009-2013",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",88.3
"2009-2013",10,"Sant Martí",65,"el Clot",86.9
"2009-2013",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",87.9
"2009-2013",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",85.1
"2009-2013",10,"Sant Martí",68,"el Poblenou",85.8
"2009-2013",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",87.3
"2009-2013",10,"Sant Martí",70,"el Besòs i el Maresme",86.6
"2009-2013",10,"Sant Martí",71,"Provençals del Poblenou",86.3
"2009-2013",10,"Sant Martí",72,"Sant Martí de Provençals",86.4
"2009-2013",10,"Sant Martí",73,"la Verneda i la Pau",88.1
"2010-2014",1,"Ciutat Vella",1,"el Raval",85.3
"2010-2014",1,"Ciutat Vella",2,"el Barri Gòtic",84.4
"2010-2014",1,"Ciutat Vella",3,"la Barceloneta",84.7
"2010-2014",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",85.3
"2010-2014",2,"Eixample",5,"el Fort Pienc",86.7
"2010-2014",2,"Eixample",6,"la Sagrada Família",87.2
"2010-2014",2,"Eixample",7,"la Dreta de l'Eixample",85.1
"2010-2014",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",86.9
"2010-2014",2,"Eixample",9,"la Nova Esquerra de l'Eixample",88.7
"2010-2014",2,"Eixample",10,"Sant Antoni",87.6
"2010-2014",3,"Sants-Montjuïc",11,"el Poble Sec",86.4
"2010-2014",3,"Sants-Montjuïc",13,"la Marina de Port",87.7
"2010-2014",3,"Sants-Montjuïc",14,"la Font de la Guatlla",84.3
"2010-2014",3,"Sants-Montjuïc",15,"Hostafrancs",87.4
"2010-2014",3,"Sants-Montjuïc",16,"la Bordeta",86.3
"2010-2014",3,"Sants-Montjuïc",17,"Sants - Badal",87.7
"2010-2014",3,"Sants-Montjuïc",18,"Sants",86.1
"2010-2014",4,"Les Corts",19,"les Corts",88.1
"2010-2014",4,"Les Corts",20,"la Maternitat i Sant Ramon",89
"2010-2014",4,"Les Corts",21,"Pedralbes",88.4
"2010-2014",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",82.2
"2010-2014",5,"Sarrià-Sant Gervasi",23,"Sarrià",86.9
"2010-2014",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",88.1
"2010-2014",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",86.8
"2010-2014",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",86.9
"2010-2014",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",87.9
"2010-2014",6,"Gràcia",28,"Vallcarca i els Penitents",86.3
"2010-2014",6,"Gràcia",29,"el Coll",88.6
"2010-2014",6,"Gràcia",30,"la Salut",85.7
"2010-2014",6,"Gràcia",31,"la Vila de Gràcia",86.1
"2010-2014",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",87.4
"2010-2014",7,"Horta-Guinardó",33,"el Baix Guinardó",86.8
"2010-2014",7,"Horta-Guinardó",34,"Can Baró",86.6
"2010-2014",7,"Horta-Guinardó",35,"el Guinardó",88.3
"2010-2014",7,"Horta-Guinardó",36,"la Font d'en Fargues",85.8
"2010-2014",7,"Horta-Guinardó",37,"el Carmel",88.1
"2010-2014",7,"Horta-Guinardó",38,"la Teixonera",87.3
"2010-2014",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",85.5
"2010-2014",7,"Horta-Guinardó",40,"Montbau",83.9
"2010-2014",7,"Horta-Guinardó",41,"la Vall d'Hebron",86.5
"2010-2014",7,"Horta-Guinardó",43,"Horta",86
"2010-2014",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",87
"2010-2014",8,"Nou Barris",45,"Porta",87.7
"2010-2014",8,"Nou Barris",46,"el Turó de la Peira",89.8
"2010-2014",8,"Nou Barris",47,"Can Peguera",85.1
"2010-2014",8,"Nou Barris",48,"la Guineueta",87
"2010-2014",8,"Nou Barris",49,"Canyelles",86.5
"2010-2014",8,"Nou Barris",50,"les Roquetes",86.5
"2010-2014",8,"Nou Barris",51,"Verdun",89
"2010-2014",8,"Nou Barris",52,"la Prosperitat",88.4
"2010-2014",8,"Nou Barris",53,"la Trinitat Nova",83.3
"2010-2014",8,"Nou Barris",54,"Torre Baró",84.8
"2010-2014",8,"Nou Barris",55,"Ciutat Meridiana",88.2
"2010-2014",8,"Nou Barris",56,"Vallbona",78.4
"2010-2014",9,"Sant Andreu",57,"la Trinitat Vella",89.5
"2010-2014",9,"Sant Andreu",58,"Baró de Viver",85.7
"2010-2014",9,"Sant Andreu",59,"el Bon Pastor",86.8
"2010-2014",9,"Sant Andreu",60,"Sant Andreu",87.8
"2010-2014",9,"Sant Andreu",61,"la Sagrera",88.2
"2010-2014",9,"Sant Andreu",62,"el Congrés i els Indians",88.9
"2010-2014",9,"Sant Andreu",63,"Navas",89.6
"2010-2014",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",87.5
"2010-2014",10,"Sant Martí",65,"el Clot",88.6
"2010-2014",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",85.6
